county,year,rainfall_mm,baseline_mm,rainfall_anomaly_pct,drought_classification,flood_risk_score,drought_months,source
Nairobi,1991,779.8,832,-6.3,Mild Drought,9.0,2,CHIRPS Simulated Data
Nairobi,1992,876.5,832,5.3,Normal,0.0,0,CHIRPS Simulated Data
Nairobi,1993,653.3,832,-21.5,Moderate Drought,7.3,3,CHIRPS Simulated Data
Nairobi,1994,929.6,832,11.7,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,1995,985.8,832,18.5,Above Normal,0.0,0,CHIRPS Simulated Data
Nairobi,1996,714.3,832,-14.1,Moderate Drought,0.0,2,CHIRPS Simulated Data
Nairobi,1997,823.0,832,-1.1,Mild Drought,0.0,1,CHIRPS Simulated Data
Nairobi,1998,701.1,832,-15.7,Moderate Drought,0.0,2,CHIRPS Simulated Data
Nairobi,1999,839.8,832,0.9,Normal,5.7,0,CHIRPS Simulated Data
Nairobi,2000,868.1,832,4.3,Normal,1.9,0,CHIRPS Simulated Data
Nairobi,2001,911.8,832,9.6,Normal,0.0,0,CHIRPS Simulated Data
Nairobi,2002,1063.6,832,27.8,Above Normal,9.3,1,CHIRPS Simulated Data
Nairobi,2003,786.8,832,-5.4,Mild Drought,0.0,1,CHIRPS Simulated Data
Nairobi,2004,849.1,832,2.1,Normal,0.0,0,CHIRPS Simulated Data
Nairobi,2005,674.1,832,-19.0,Moderate Drought,8.2,3,CHIRPS Simulated Data
Nairobi,2006,953.6,832,14.6,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,2007,905.9,832,8.9,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,2008,1010.8,832,21.5,Above Normal,8.8,1,CHIRPS Simulated Data
Nairobi,2009,935.6,832,12.5,Normal,8.5,0,CHIRPS Simulated Data
Nairobi,2010,759.1,832,-8.8,Mild Drought,0.0,1,CHIRPS Simulated Data
Nairobi,2011,848.5,832,2.0,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,2012,837.3,832,0.6,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,2013,742.7,832,-10.7,Moderate Drought,6.0,1,CHIRPS Simulated Data
Nairobi,2014,1129.7,832,35.8,Above Normal,5.5,0,CHIRPS Simulated Data
Nairobi,2015,686.4,832,-17.5,Moderate Drought,6.3,3,CHIRPS Simulated Data
Nairobi,2016,1020.0,832,22.6,Above Normal,5.5,0,CHIRPS Simulated Data
Nairobi,2017,853.5,832,2.6,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,2018,978.7,832,17.6,Above Normal,0.0,0,CHIRPS Simulated Data
Nairobi,2019,837.7,832,0.7,Normal,0.0,1,CHIRPS Simulated Data
Nairobi,2020,992.4,832,19.3,Above Normal,7.8,0,CHIRPS Simulated Data
Nairobi,2021,754.6,832,-9.3,Mild Drought,4.3,2,CHIRPS Simulated Data
Nairobi,2022,963.8,832,15.8,Above Normal,5.4,0,CHIRPS Simulated Data
Nairobi,2023,949.2,832,14.1,Normal,0.0,0,CHIRPS Simulated Data
Nairobi,2024,757.2,832,-9.0,Mild Drought,0.0,2,CHIRPS Simulated Data
Mombasa,1991,1016.0,1120,-9.3,Mild Drought,0.2,2,CHIRPS Simulated Data
Mombasa,1992,983.5,1120,-12.2,Moderate Drought,0.0,2,CHIRPS Simulated Data
Mombasa,1993,975.9,1120,-12.9,Moderate Drought,0.0,2,CHIRPS Simulated Data
Mombasa,1994,941.4,1120,-15.9,Moderate Drought,8.6,3,CHIRPS Simulated Data
Mombasa,1995,1213.8,1120,8.4,Normal,7.4,1,CHIRPS Simulated Data
Mombasa,1996,963.4,1120,-14.0,Moderate Drought,7.8,2,CHIRPS Simulated Data
Mombasa,1997,1323.2,1120,18.1,Above Normal,7.9,0,CHIRPS Simulated Data
Mombasa,1998,926.9,1120,-17.2,Moderate Drought,0.0,3,CHIRPS Simulated Data
Mombasa,1999,1339.6,1120,19.6,Above Normal,7.2,0,CHIRPS Simulated Data
Mombasa,2000,1166.6,1120,4.2,Normal,0.0,0,CHIRPS Simulated Data
Mombasa,2001,943.4,1120,-15.8,Moderate Drought,0.0,3,CHIRPS Simulated Data
Mombasa,2002,1065.9,1120,-4.8,Mild Drought,0.4,1,CHIRPS Simulated Data
Mombasa,2003,1093.7,1120,-2.3,Mild Drought,9.4,1,CHIRPS Simulated Data
Mombasa,2004,1032.0,1120,-7.9,Mild Drought,0.0,1,CHIRPS Simulated Data
Mombasa,2005,1055.5,1120,-5.8,Mild Drought,0.0,1,CHIRPS Simulated Data
Mombasa,2006,1188.8,1120,6.1,Normal,0.0,0,CHIRPS Simulated Data
Mombasa,2007,1434.9,1120,28.1,Above Normal,0.0,0,CHIRPS Simulated Data
Mombasa,2008,1189.9,1120,6.2,Normal,9.7,0,CHIRPS Simulated Data
Mombasa,2009,1304.0,1120,16.4,Above Normal,5.2,0,CHIRPS Simulated Data
Mombasa,2010,1342.6,1120,19.9,Above Normal,0.0,1,CHIRPS Simulated Data
Mombasa,2011,1290.4,1120,15.2,Above Normal,0.7,0,CHIRPS Simulated Data
Mombasa,2012,1417.6,1120,26.6,Above Normal,0.0,0,CHIRPS Simulated Data
Mombasa,2013,938.8,1120,-16.2,Moderate Drought,1.8,3,CHIRPS Simulated Data
Mombasa,2014,927.4,1120,-17.2,Moderate Drought,0.2,2,CHIRPS Simulated Data
Mombasa,2015,1316.6,1120,17.6,Above Normal,0.0,1,CHIRPS Simulated Data
Mombasa,2016,1162.2,1120,3.8,Normal,8.7,0,CHIRPS Simulated Data
Mombasa,2017,1138.2,1120,1.6,Normal,0.0,1,CHIRPS Simulated Data
Mombasa,2018,1475.1,1120,31.7,Above Normal,0.0,1,CHIRPS Simulated Data
Mombasa,2019,1443.0,1120,28.8,Above Normal,1.1,1,CHIRPS Simulated Data
Mombasa,2020,1088.6,1120,-2.8,Mild Drought,0.0,1,CHIRPS Simulated Data
Mombasa,2021,1505.5,1120,34.4,Above Normal,2.7,0,CHIRPS Simulated Data
Mombasa,2022,1164.0,1120,3.9,Normal,4.5,1,CHIRPS Simulated Data
Mombasa,2023,1507.9,1120,34.6,Above Normal,5.6,1,CHIRPS Simulated Data
Mombasa,2024,1004.2,1120,-10.3,Moderate Drought,0.0,2,CHIRPS Simulated Data
Kisumu,1991,1643.0,1560,5.3,Normal,0.0,0,CHIRPS Simulated Data
Kisumu,1992,1694.3,1560,8.6,Normal,0.0,0,CHIRPS Simulated Data
Kisumu,1993,1610.8,1560,3.3,Normal,3.8,1,CHIRPS Simulated Data
Kisumu,1994,1361.1,1560,-12.8,Moderate Drought,4.2,2,CHIRPS Simulated Data
Kisumu,1995,1446.6,1560,-7.3,Mild Drought,4.9,2,CHIRPS Simulated Data
Kisumu,1996,1869.0,1560,19.8,Above Normal,3.2,1,CHIRPS Simulated Data
Kisumu,1997,1272.9,1560,-18.4,Moderate Drought,0.0,3,CHIRPS Simulated Data
Kisumu,1998,1398.4,1560,-10.4,Moderate Drought,9.5,2,CHIRPS Simulated Data
Kisumu,1999,1925.5,1560,23.4,Above Normal,2.6,1,CHIRPS Simulated Data
Kisumu,2000,1618.3,1560,3.7,Normal,1.5,0,CHIRPS Simulated Data
Kisumu,2001,1375.2,1560,-11.8,Moderate Drought,4.4,2,CHIRPS Simulated Data
Kisumu,2002,1241.3,1560,-20.4,Moderate Drought,2.9,3,CHIRPS Simulated Data
